"age_in_years" "PI" "FI" "AD" "FC" "IGC"
52.6791092857143 4.57142857142857 2.6 4.75 5 4.83333333333333
22.672195 3.71428571428571 3.6 3.25 5 4
46.0863492857143 3.14285714285714 2.8 3.875 3 4
53.5606992857143 4.14285714285714 3.2 4.25 4.4 4.83333333333333
24.45454 3 2.8 3.25 2.75 4.83333333333333
33.5305364285714 4.85714285714286 2.8 4 3.8 4.83333333333333
50.1712321428571 3.85714285714286 3.4 4.125 3.6 4.66666666666667
36.5695578571429 3.85714285714286 3.6 3.125 4.6 5
19.0910778571429 4.42857142857143 3.2 4.5 4.4 4.83333333333333
22.7734957142857 2.57142857142857 1.4 2.125 2.6 4.66666666666667
35.6167835714286 4.42857142857143 3.8 4.125 4.2 4.83333333333333
34.1301271428571 4.57142857142857 4 5 4 5
21.6454985714286 3.71428571428571 2.8 3.25 3 3.5
26.5928064285714 4 1.8 4.25 2.8 5
37.5305457142857 3.71428571428571 2.2 3.125 3.6 3.66666666666667
24.5750057142857 4.57142857142857 3 3.25 3.4 4.5
50.5846485714286 3.85714285714286 3 4.25 4 5
55.1869864285714 3.28571428571429 3.2 3.875 3 4
39.7509478571429 3.85714285714286 3.2 3.5 3.6 4
36.5339657142857 2.71428571428571 2.4 2.625 3 3.5
29.6783714285714 4 3 3 4 5
30.3737871428571 4.71428571428571 4.2 3.75 4.2 4.16666666666667
41.1718957142857 5 5 5 5 5
26.7789807142857 3.85714285714286 3 4 3 4.5
40.4846935714286 3.28571428571429 3 2.875 3.8 3.66666666666667
52.7092257142857 2.28571428571429 3.2 2.875 2.4 4.16666666666667
26.4038942857143 4.28571428571429 3 4 3.8 4.83333333333333
31.3019207142857 3.85714285714286 3.2 3.625 3.2 3.66666666666667
37.6619628571429 4.28571428571429 2 3.75 4.4 5
33.1417607142857 3.42857142857143 3 3.625 4 4.5
23.5975907142857 4.71428571428571 3.2 2 3.2 4.33333333333333
49.6975828571429 3.85714285714286 3.6 4.625 4.6 5
25.3908871428571 3.14285714285714 3.4 4 3.8 5
42.4011935714286 4.14285714285714 3.8 4.125 4 5
46.4915521428571 5 5 5 5 5
29.1417514285714 3.28571428571429 3 3.5 4 4.33333333333333
25.738595 4.71428571428571 4.4 4.375 4.6 5
43.6414428571429 3.57142857142857 3.8 4.25 3.4 4.83333333333333
49.4511757142857 4 3.4 4.125 3.8 5
26.5380492857143 4.42857142857143 4.8 4.375 5 5
38.0589521428571 2.71428571428571 2 3.375 3.2 4.66666666666667
37.33342 4 3.2 4.125 4.2 4.83333333333333
46.0808735714286 4.57142857142857 3 4.5 4 5
22.6174378571429 1 1 1 1 1
23.400465 4 3.8 3.75 4 4.16666666666667
40.3450628571429 2.85714285714286 3.2 2.875 3.6 3.33333333333333
28.3696757142857 2.28571428571429 2.2 3.75 3.4 4.5
19.2005921428571 3.42857142857143 3.2 3.5 3.6 4.33333333333333
48.7119542857143 4.28571428571429 2 3.875 3.6 4.5
38.3902328571429 3.85714285714286 2.2 3.5 3.6 4.5
37.0568964285714 3.28571428571429 2.2 3.625 3 3.83333333333333
30.664 4 4.2 4.125 4 4.66666666666667
48.2711592857143 3 3.4 4 3.4 4.16666666666667
52.3669935714286 5 4.2 5 4.6 5
29.6154007142857 5 4 4.375 4.8 5
51.113055 3.42857142857143 2.4 4.125 4 4.16666666666667
23.2115528571429 4.14285714285714 4.8 4.875 5 5
24.18623 2.57142857142857 3.4 3.375 4.4 3.5
38.2478642857143 4.14285714285714 2.2 4.125 3.6 4
42.3382228571429 3.71428571428571 3.2 4.125 3.6 4.33333333333333
45.3033221428571 4.42857142857143 3.25 4.125 3.8 4.83333333333333
34.3108257142857 3.42857142857143 2.8 2.5 3.6 4.16666666666667
58.3546871428571 3.57142857142857 2.6 3.875 4.4 5
32.1369671428571 3.57142857142857 3.2 3.875 3.8 5
47.2882685714286 4 4.8 4.5 5 5
29.609925 4.14285714285714 3.8 4.5 5 5
39.7755885714286 3.42857142857143 2.8 3.75 3 3.83333333333333
31.58392 4.14285714285714 3.6 3.5 4 4
27.540105 3 3.2 3.875 4 3.83333333333333
23.7563864285714 3.71428571428571 4.8 4 4 4.5
32.7256064285714 3.14285714285714 3 2.875 3.2 4.33333333333333
33.7030214285714 2.85714285714286 3.4 3.75 4.8 5
35.5976185714286 4.85714285714286 2.8 4.75 4 5
26.5544764285714 3.14285714285714 3.8 2.375 3.2 4
31.5182114285714 5 5 5 5 4.33333333333333
25.3032757142857 4.57142857142857 5 4.25 5 5
26.2341471428571 3.71428571428571 3.2 3.625 3.8 3.83333333333333
28.09589 4.14285714285714 3.8 4.625 4.4 4.83333333333333
25.2841107142857 3.14285714285714 2 3.375 3.4 4.5
42.1739514285714 4.85714285714286 3.6 3.875 4.8 5
31.2115714285714 3.28571428571429 3 3.75 4 4.16666666666667
30.2724864285714 4 4.6 4.25 4.8 5
34.4531942857143 1.71428571428571 3 4.125 3.6 4.33333333333333
46.72427 4.71428571428571 3.5 4 4 4.5
28.4107435714286 3.57142857142857 4.2 4.125 3.2 4.16666666666667
27.4661828571429 2.85714285714286 3 3.71428571428571 3.8 4
46.0753978571429 3.71428571428571 3.4 4.625 5 5
33.3580514285714 3.14285714285714 3 4 3 4
28.1643364285714 2.85714285714286 1 2.625 2.8 3.83333333333333
31.69891 2.28571428571429 2.2 2.25 2.8 4
57.3553692857143 1 1 1.25 1.6 1
54.7215507142857 4.28571428571429 3.4 4.625 4.8 5
40.1041314285714 5 3.4 4.875 4.5 4.33333333333333
25.6455078571429 4.85714285714286 2.4 3.25 3.2 4.5
24.243725 5 4 4.625 5 5
30.146545 4 2.8 4.75 4.8 5
25.71943 3.14285714285714 3 3.625 4 4.66666666666667
30.1410692857143 3 3 3.5 3.6 4.5
26.083565 3.57142857142857 4 4.125 4.2 5
26.21772 4.28571428571429 3.4 4.28571428571429 4.8 5
32.6106164285714 3.28571428571429 3.2 3.5 3 4.33333333333333
20.5804721428571 5 4.2 4.375 4 5
19.1704757142857 3.85714285714286 2.2 3.875 4.6 5
27.4990371428571 4.14285714285714 3.8 4.5 4.8 5
27.2006107142857 3.42857142857143 4.8 4.625 4.8 5
27.4607071428571 4.71428571428571 3.8 3.875 4.6 4.5
26.6283985714286 5 3.75 4.625 4.4 5
23.4251057142857 2.57142857142857 3.2 4.25 4.2 5
52.7119635714286 4.28571428571429 3.2 4.5 4.6 5
29.5223135714286 3.42857142857143 2 3.125 3 4.16666666666667
39.4278807142857 4.71428571428571 3 4.75 2.8 5
52.0740428571429 3.71428571428571 3.4 3.625 3.8 4.16666666666667
35.6359485714286 4.71428571428571 3 5 4.6 5
37.1171292857143 4.28571428571429 2.6 3.5 3 4.66666666666667
29.3744692857143 3.16666666666667 2.2 3.75 1.8 4.83333333333333
49.7851942857143 3.85714285714286 2.4 4 4.2 4.33333333333333
35.2088428571429 4 3.2 3.375 3.2 4.16666666666667
34.7132907142857 3 3 3 3 3
36.3341021428571 3.57142857142857 1.4 3.25 3.6 4.66666666666667
33.6646914285714 4.85714285714286 3.4 4.625 4.8 5
39.2526578571429 5 4.8 4.625 5 5
53.7468735714286 3.71428571428571 3 4.875 4.6 4.83333333333333
32.216365 4.42857142857143 2.8 3.75 3.6 4.5
31.3785807142857 3.28571428571429 2.8 3.5 3.8 4.83333333333333
37.0705857142857 3.71428571428571 3 3.625 3.6 4.6
33.4675657142857 4.28571428571429 3 3.625 3.8 4.66666666666667
41.7112535714286 4 4 4.125 4.2 4
25.0760335714286 4.14285714285714 3.6 4 4.2 4.66666666666667
54.5682307142857 3.85714285714286 3.2 3.75 4 4.83333333333333
29.3881585714286 4 4 4 4 4
35.6469 2.28571428571429 2.2 3.16666666666667 2.2 3.4
42.4422614285714 1.85714285714286 2.2 3.25 2.2 5
44.2793635714286 4.14285714285714 3.6 3.75 3.8 4.83333333333333
20.1670557142857 3.85714285714286 3 3.5 4 5
43.2198128571429 4.14285714285714 3 3.5 3.6 4.16666666666667
27.5483185714286 3.57142857142857 3 3.42857142857143 3.6 4.83333333333333
49.311545 4 3.4 4.375 4 4.33333333333333
36.5202764285714 2.14285714285714 2.2 2.625 3.4 3.66666666666667
52.2081978571429 4 4.2 4.125 4.6 4.66666666666667
42.2150192857143 5 5 4.75 5 5
45.0623907142857 4 4 4.125 4 5
48.4737607142857 3.14285714285714 2.8 3.875 3.6 4.66666666666667
33.749565 4.42857142857143 3 3.5 3.4 5
37.6811278571429 4.85714285714286 3.2 4.5 4.4 5
38.2998835714286 3.71428571428571 2.4 3.875 3.2 5
53.3717871428571 2.85714285714286 2.8 3.625 3.8 4.16666666666667
37.5414971428571 3.71428571428571 2.8 4.375 3.6 4.33333333333333
32.3204035714286 3.71428571428571 4 4.375 4.6 4.66666666666667
28.5804907142857 3.42857142857143 2.8 3.875 2.8 3.33333333333333
26.7132721428571 3.71428571428571 3.4 4.125 4 4.83333333333333
