"","mean","sd","95%_HPDL","95%_HPDU","median"
"f=~x1",0.69810236,0.04011461,0.62448763,0.77932848,0.6995009
"f=~x2",0.69772265,0.04053764,0.61812532,0.77669901,0.69951334
"f=~x3",0.69844844,0.04016285,0.61983217,0.77335041,0.7002109
"f=~x4",0.69807153,0.04120046,0.61851197,0.7758693,0.70003651
"x1~1",0,0,0,0,0
"x2~1",0,0,0,0,0
"x3~1",0,0,0,0,0
"x4~1",0,0,0,0,0
"x1~~x1",0.51104423,0.05564313,0.39684076,0.61344046,0.51069849
"x2~~x2",0.51154013,0.05617426,0.39739651,0.61851551,0.51068108
"x3~~x3",0.51055704,0.05569822,0.40192915,0.61580808,0.5097047
"x4~~x4",0.51099899,0.0570666,0.39802682,0.61744294,0.50994889
"f~~f",1,0,1,1,1
"f~1",0,0,0,0,0
