"","mean","sd","95%_HPDL","95%_HPDU","median"
"alpha[1,1,1]",0,0,0,0,0
"y1~1",-0.00043155,0.04640458,-0.08243796,0.10296416,-0.00124269
"y1~f",0.70406144,0.05616522,0.59569496,0.8140363,0.70381484
"f=~x1",0.7034727,0.05841636,0.58829531,0.82006599,0.70339601
"f=~x2",0.70288464,0.05765833,0.58930056,0.81523338,0.70290665
"f=~x3",0.7038023,0.05690855,0.59261598,0.81461506,0.70319593
"f=~x4",0.70411127,0.05863381,0.58782556,0.81744657,0.70453025
"nu[1,1,1]",0,0,0,0,0
"nu[2,1,1]",0,0,0,0,0
"nu[3,1,1]",0,0,0,0,0
"nu[4,1,1]",0,0,0,0,0
"psi[1,1,1]",1,0,1,1,1
"y1~~y1",0.52225797,0.05619065,0.41354661,0.63380062,0.51895536
"x1~~x1",0.51954796,0.05723291,0.40865033,0.63270229,0.51706208
"x2~~x2",0.51873948,0.05720591,0.40985729,0.63586591,0.51643153
"x3~~x3",0.51945779,0.05650711,0.41474088,0.63225498,0.51781045
"x4~~x4",0.51767469,0.05931836,0.41039005,0.63997778,0.51401401
